Training POS tagger....
Averaging weights....
Done!

Training dependency parser....
0 0.622
1 0.706
2 0.749
3 0.774
4 0.794
5 0.809
6 0.822
7 0.831
8 0.840
9 0.846
10 0.849
11 0.853
12 0.857
13 0.859
14 0.862
Averaging weights....
Done!

Saving model to model/parser.pickle
Evaluating dependency parser....
0 ROOT ROOT None
1 Influential 2 2
2 members 10 38
3 of 2 2
4 the 6 6
5 House 6 6
6 Ways 3 3
7 and 6 6
8 Means 9 9
9 Committee 6 10
10 introduced 0 6
11 legislation 10 10
12 that 14 14
13 would 14 14
14 restrict 11 11
15 how 22 22
16 the 20 20
17 new 20 20
18 savings-and-loan 20 20
19 bailout 20 20
20 agency 22 22
21 can 22 22
22 raise 14 14
23 capital 22 22
24 , 14 14
25 creating 14 14
26 another 28 28
27 potential 28 28
28 obstacle 25 25
29 to 28 28
30 the 31 31
31 government 33 33
32 's 31 31
33 sale 29 29
34 of 33 33
35 sick 36 36
36 thrifts 34 34
37 . 10 10

0 ROOT ROOT None
1 The 2 2
2 bill 17 6
3 , 2 6
4 whose 5 5
5 backers 6 6
6 include 2 46
7 Chairman 9 9
8 Dan 9 9
9 Rostenkowski 6 17
10 ( 11 11
11 D. 9 9
12 , 11 11
13 Ill. 11 11
14 ) 11 11
15 , 2 9
16 would 17 17
17 prevent 0 6
18 the 21 21
19 Resolution 21 21
20 Trust 21 21
21 Corp. 17 17
22 from 17 17
23 raising 22 22
24 temporary 26 26
25 working 26 26
26 capital 23 23
27 by 17 17
28 having 27 27
29 an 31 31
30 RTC-owned 31 31
31 bank 28 28
32 or 31 31
33 thrift 35 31
34 issue 35 35
35 debt 31 31
36 that 40 40
37 would 40 40
38 n't 40 40
39 be 40 40
40 counted 31 35
41 on 40 40
42 the 44 44
43 federal 44 44
44 budget 41 41
45 . 17 6

0 ROOT ROOT None
1 The 2 2
2 bill 3 3
3 intends 0 21
4 to 5 5
5 restrict 3 3
6 the 7 7
7 RTC 5 5
8 to 5 5
9 Treasury 10 10
10 borrowings 8 8
11 only 10 10
12 , 3 5
13 unless 16 16
14 the 15 15
15 agency 16 16
16 receives 3 5
17 specific 19 19
18 congressional 19 19
19 authorization 16 16
20 . 3 3

0 ROOT ROOT None
1 `` 22 22
2 Such 7 3
3 agency 7 7
4 ` 7 7
5 self-help 7 7
6 ' 7 7
7 borrowing 8 9
8 is 22 9
9 unauthorized 8 22
10 and 9 9
11 expensive 9 9
12 , 9 15
13 far 15 14
14 more 15 15
15 expensive 9 9
16 than 15 15
17 direct 19 19
18 Treasury 19 19
19 borrowing 16 16
20 , 22 22
21 '' 22 22
22 said 0 38
23 Rep. 25 25
24 Fortney 25 25
25 Stark 22 22
26 ( 27 27
27 D. 25 25
28 , 27 27
29 Calif. 27 27
30 ) 27 27
31 , 25 25
32 the 33 33
33 bill 36 36
34 's 33 33
35 chief 36 36
36 sponsor 25 25
37 . 22 22

0 ROOT ROOT None
1 The 4 4
2 complex 4 4
3 financing 4 4
4 plan 10 24
5 in 4 4
6 the 9 9
7 S&L 9 9
8 bailout 9 9
9 law 5 5
10 includes 0 9
11 raising 10 10
12 $ 11 11
13 30 14 14
14 billion 12 12
15 from 11 11
16 debt 15 15
17 issued 16 16
18 by 17 17
19 the 22 22
20 newly 21 21
21 created 22 22
22 RTC 18 18
23 . 10 4

0 ROOT ROOT None
1 This 3 3
2 financing 3 3
3 system 5 5
4 was 5 5
5 created 0 23
6 in 5 5
7 the 9 9
8 new 9 9
9 law 6 6
10 in 13 5
11 order 13 13
12 to 13 13
13 keep 5 10
14 the 16 16
15 bailout 16 16
16 spending 13 13
17 from 13 13
18 swelling 17 17
19 the 21 21
20 budget 21 21
21 deficit 18 18
22 . 5 5

0 ROOT ROOT None
1 Another 2 7
2 $ 7 7
3 20 2 4
4 billion 2 2
5 would 7 7
6 be 7 7
7 raised 0 18
8 through 7 7
9 Treasury 10 10
10 bonds 8 8
11 , 10 10
12 which 13 13
13 pay 10 10
14 lower 16 16
15 interest 16 16
16 rates 13 13
17 . 7 7

0 ROOT ROOT None
1 But 5 5
2 the 3 3
3 RTC 5 5
4 also 5 5
5 requires 0 29
6 `` 9 5
7 working 9 5
8 '' 9 9
9 capital 5 7
10 to 11 11
11 maintain 9 7
12 the 14 14
13 bad 14 14
14 assets 11 11
15 of 14 14
16 thrifts 15 15
17 that 19 19
18 are 19 19
19 sold 16 16
20 , 11 14
21 until 26 26
22 the 23 23
23 assets 26 26
24 can 26 26
25 be 26 26
26 sold 11 11
27 separately 26 26
28 . 5 5

0 ROOT ROOT None
1 That 2 2
2 debt 5 5
3 would 5 5
4 be 5 5
